<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
INDEX.CSI300,D,20210721,190000,5122.7843,5160.4525,5122.6577,5144.0428,1752
INDEX.CSI300,D,20210722,190000,5150.3859,5170.9693,5137.9854,5151.7517,1632
INDEX.CSI300,D,20210723,190000,5145.4308,5145.4308,5079.9987,5089.2282,1977
INDEX.CSI300,D,20210726,190000,5067.3072,5067.3072,4860.1162,4925.299,1736
INDEX.CSI300,D,20210727,190000,4924.2816,4940.5088,4749.0327,4751.313,2024
INDEX.CSI300,D,20210728,190000,4714.2948,4785.6567,4665.0992,4760.4826,1530
INDEX.CSI300,D,20210729,190000,4845.7603,4857.2626,4800.0464,4850.2746,1818
INDEX.CSI300,D,20210730,190000,4825.7002,4825.7002,4761.3125,4811.1695,1728
INDEX.CSI300,D,20210802,190000,4794.8192,4938.8154,4762.0567,4933.736,1932
INDEX.CSI300,D,20210803,190000,4909.2325,4956.8648,4891.4749,4934.4583,1523
INDEX.CSI300,D,20210804,190000,4927.7358,4979.2141,4919.6569,4978.8479,1786
INDEX.CSI300,D,20210805,190000,4946.1668,4996.6852,4923.1208,4948.6703,1863
INDEX.CSI300,D,20210806,190000,4943.0427,4943.0516,4892.0845,4921.5647,2013
INDEX.CSI300,D,20210809,190000,4890.2573,5002.8944,4887.8459,4985.5627,1648
INDEX.CSI300,D,20210810,190000,4977.8164,5043.148,4941.2399,5043.148,1686
INDEX.CSI300,D,20210811,190000,5037.0819,5059.3692,5010.1707,5015.3406,1625
INDEX.CSI300,D,20210812,190000,4998.0733,5015.0549,4963.511,4973.3509,2007
INDEX.CSI300,D,20210813,190000,4958.7577,4993.6039,4921.5305,4945.9829,1926
INDEX.CSI300,D,20210816,190000,4935.9229,4973.1608,4931.458,4941.0676,1809
INDEX.CSI300,D,20210817,190000,4935.0044,4967.5446,4823.6432,4837.4034,1698
INDEX.CSI300,D,20210818,190000,4838.4706,4909.5409,4819.8587,4894.2384,1760
INDEX.CSI300,D,20210819,190000,4886.564,4893.0183,4839.6611,4862.1394,1934
INDEX.CSI300,D,20210820,190000,4817.4937,4833.9642,4720.8366,4769.2678,1755
INDEX.CSI300,D,20210823,190000,4777.7347,4843.7704,4764.7882,4835.8782,1556
INDEX.CSI300,D,20210824,190000,4844.5925,4906.122,4844.3321,4888.3902,1705
INDEX.CSI300,D,20210825,190000,4890.5211,4899.4092,4865.8186,4898.1572,1899
INDEX.CSI300,D,20210826,190000,4892.2044,4892.2044,4798.6954,4801.6094,1854
INDEX.CSI300,D,20210827,190000,4794.974,4863.3948,4794.974,4827.0433,2049
INDEX.CSI300,D,20210830,190000,4847.0348,4848.998,4787.2798,4813.2703,2147
INDEX.CSI300,D,20210831,190000,4803.0854,4821.7179,4740.7524,4805.6099,2714
INDEX.CSI300,D,20210901,190000,4804.6863,4906.4024,4763.8558,4869.4587,2644
INDEX.CSI300,D,20210902,190000,4865.8218,4892.5515,4845.6476,4869.4113,2555
INDEX.CSI300,D,20210903,190000,4875.0656,4886.3773,4828.8356,4843.0624,2449
INDEX.CSI300,D,20210906,190000,4841.0623,4944.4497,4837.8079,4933.7262,2755
INDEX.CSI300,D,20210907,190000,4932.9759,5005.5668,4915.9083,4992.8294,2816
INDEX.CSI300,D,20210908,190000,4986.7953,5013.0316,4955.8876,4972.1324,2211
INDEX.CSI300,D,20210909,190000,4952.4924,4970.147,4930.5257,4970.0133,2719
INDEX.CSI300,D,20210910,190000,4967.9759,5042.2401,4962.8654,5013.5219,2828
INDEX.CSI300,D,20210913,190000,5006.7748,5029.615,4965.127,4991.6598,2778
INDEX.CSI300,D,20210914,190000,4989.8348,5000.9772,4907.6684,4917.1617,2302
INDEX.CSI300,D,20210915,190000,4903.8471,4903.8471,4843.4587,4867.3187,2551
INDEX.CSI300,D,20210916,190000,4866.7936,4879.4594,4806.3076,4807.6978,2863
INDEX.CSI300,D,20210917,190000,4797.1129,4857.958,4786.2792,4855.9402,2738
INDEX.CSI300,D,20210922,190000,4770.7323,4830.6816,4765.2301,4821.7675,2720
INDEX.CSI300,D,20210923,190000,4848.2223,4876.8288,4837.6653,4853.1957,2256
INDEX.CSI300,D,20210924,190000,4845.638,4896.7643,4838.6946,4849.4277,2418
INDEX.CSI300,D,20210927,190000,4870.8482,4922.5626,4852.2924,4877.3698,2598
INDEX.CSI300,D,20210928,190000,4869.0845,4901.1047,4846.6306,4883.828,2185
INDEX.CSI300,D,20210929,190000,4846.0212,4867.8453,4799.9108,4833.9281,2106
INDEX.CSI300,D,20210930,190000,4843.9531,4876.0728,4843.9531,4866.3826,2954
INDEX.CSI300,D,20211008,190000,4915.7305,4936.9372,4891.6249,4929.9409,2941
INDEX.CSI300,D,20211011,190000,4941.2918,4983.7294,4930.7132,4936.1918,2945
INDEX.CSI300,D,20211012,190000,4920.6596,4925.4883,4840.9944,4883.8369,2889
INDEX.CSI300,D,20211013,190000,4880.144,4953.0635,4870.6297,4940.1089,2190
INDEX.CSI300,D,20211014,190000,4934.2575,4953.9231,4903.415,4913.6123,2905
INDEX.CSI300,D,20211015,190000,4896.5578,4939.6179,4881.54,4932.1084,2230
INDEX.CSI300,D,20211018,190000,4922.5137,4922.5137,4844.9383,4874.7753,2168
INDEX.CSI300,D,20211019,190000,4869.3907,4928.1433,4868.8106,4922.7232,2137
INDEX.CSI300,D,20211020,190000,4926.7727,4943.3532,4898.4088,4910.1846,2077
INDEX.CSI300,D,20211021,190000,4914.7378,4946.1228,4893.8543,4928.0156,2090
INDEX.CSI300,D,20211022,190000,4934.8698,4989.887,4934.8698,4959.7254,2964
INDEX.CSI300,D,20211025,190000,4940.8962,4981.3059,4930.112,4979.5235,3022
INDEX.CSI300,D,20211026,190000,4983.2383,5002.3791,4953.4787,4963.0984,2944
INDEX.CSI300,D,20211027,190000,4949.2269,4949.2269,4884.9418,4898.1644,2936
INDEX.CSI300,D,20211028,190000,4882.5858,4898.6576,4846.3831,4864.138,2246
INDEX.CSI300,D,20211029,190000,4861.2667,4908.7701,4855.8084,4908.7701,2166
INDEX.CSI300,D,20211101,190000,4878.1276,4907.8601,4858.4251,4890.6851,2202
INDEX.CSI300,D,20211102,190000,4886.1849,4911.1731,4797.9033,4839.8457,2912
INDEX.CSI300,D,20211103,190000,4835.8093,4858.7133,4804.4113,4821.1119,2990
INDEX.CSI300,D,20211104,190000,4841.0912,4873.9394,4834.7433,4868.7419,2924
INDEX.CSI300,D,20211105,190000,4858.8999,4889.6835,4841.7442,4842.3458,2619
INDEX.CSI300,D,20211108,190000,4841.1527,4865.7629,4827.9128,4848.1795,2109
INDEX.CSI300,D,20211109,190000,4858.2525,4870.6125,4818.5929,4846.7444,2256
INDEX.CSI300,D,20211110,190000,4832.8006,4832.8006,4753.9959,4821.1925,2915
INDEX.CSI300,D,20211111,190000,4814.7655,4898.6529,4809.1109,4898.6529,3032
INDEX.CSI300,D,20211112,190000,4902.9289,4909.0839,4875.397,4888.3749,2719
INDEX.CSI300,D,20211115,190000,4894.4119,4906.3301,4863.5325,4882.3777,2932
INDEX.CSI300,D,20211116,190000,4880.8964,4915.3717,4876.5004,4883.3206,3019
INDEX.CSI300,D,20211117,190000,4883.2481,4891.5232,4864.6699,4885.7544,2970
INDEX.CSI300,D,20211118,190000,4871.4216,4871.4216,4830.4852,4837.6185,2999
INDEX.CSI300,D,20211119,190000,4832.0595,4892.7341,4829.8703,4890.0575,3051
INDEX.CSI300,D,20211122,190000,4895.3875,4918.8475,4893.5218,4912.399,2235
INDEX.CSI300,D,20211123,190000,4905.7587,4927.3478,4897.0792,4913.3457,2975
INDEX.CSI300,D,20211124,190000,4914.0266,4935.4885,4899.6112,4916.6579,2992
INDEX.CSI300,D,20211125,190000,4917.6055,4921.2247,4891.8826,4896.4416,2321
INDEX.CSI300,D,20211126,190000,4886.9516,4886.9516,4850.9759,4860.1265,2167
